index,flow_id,Size_mean,Size_max,Size_min,Size_std,Timestamp_min,Timestamp_max,Timestamp_count
0,104.208.16.88_192.168.29.181_6,308.0896551724138,1514,54,502.7452955363264,2025-10-24 16:08:56.900836,2025-10-24 16:09:19.401655,145
1,108.158.245.109_192.168.29.181_6,483.6666666666667,1494,54,646.9999545413202,2025-10-24 16:10:19.912956,2025-10-24 16:14:17.495508,18
2,13.107.5.80_192.168.29.181_6,550.9565217391304,1514,54,656.3346207441383,2025-10-24 16:09:14.564242,2025-10-24 16:09:19.075513,23
3,13.225.103.70_192.168.29.181_6,561.7692307692307,1494,54,656.5266120331241,2025-10-24 16:09:10.620227,2025-10-24 16:09:19.037781,13
4,13.69.239.73_192.168.29.181_6,570.9,1514,54,664.3144252201329,2025-10-24 16:08:17.333290,2025-10-24 16:08:18.299952,10
5,13.89.178.26_192.168.29.181_6,76.87074829931973,175,54,40.14123560643786,2025-10-24 16:06:57.967446,2025-10-24 16:09:10.288899,147
6,140.82.112.25_192.168.29.181_6,66.0,66,66,,2025-10-22 22:42:52.585135,2025-10-22 22:42:52.585135,1
7,172.188.155.25_192.168.29.181_6,428.8333333333333,1514,54,542.8073268827965,2025-10-22 22:42:45.885700,2025-10-24 16:09:32.187623,18
8,172.217.26.14_192.168.29.181_17,409.4166666666667,1296,70,486.7594997594403,2025-10-24 16:11:12.382696,2025-10-24 16:11:12.682158,12
9,192.168.29.179_224.0.0.251_17,141.5,159,89,31.304951684997057,2025-10-24 16:08:31.610170,2025-10-24 16:13:06.447031,16
10,192.168.29.181_104.208.16.88_6,1125.255230125523,1494,54,583.8185204633169,2025-10-24 16:08:56.499072,2025-10-24 16:09:19.315439,239
11,192.168.29.181_108.158.245.109_6,179.26666666666668,1494,54,375.17928412706266,2025-10-24 16:10:19.865488,2025-10-24 16:14:17.495508,15
12,192.168.29.181_13.107.5.80_6,229.72222222222223,1494,54,363.58295526533846,2025-10-24 16:09:14.258995,2025-10-24 16:09:19.080589,18
13,192.168.29.181_13.225.103.70_6,229.21428571428572,1494,54,392.323488692966,2025-10-24 16:09:10.590780,2025-10-24 16:09:19.037781,14
14,192.168.29.181_13.69.239.73_6,344.45454545454544,1494,54,467.95306679973015,2025-10-24 16:08:17.152450,2025-10-24 16:08:18.020417,11
15,192.168.29.181_13.89.178.26_6,1023.1471698113207,1494,54,629.4991974757722,2025-10-24 16:06:57.553129,2025-10-24 16:09:10.290909,265
16,192.168.29.181_140.82.112.25_6,55.0,55,55,,2025-10-22 22:42:52.344011,2025-10-22 22:42:52.344011,1
17,192.168.29.181_172.188.155.25_6,339.5,1514,54,547.5439547223046,2025-10-22 22:42:45.805148,2025-10-24 16:09:32.187623,18
18,192.168.29.181_172.217.26.14_17,398.22222222222223,1292,73,521.8485838291069,2025-10-24 16:11:12.233505,2025-10-24 16:11:12.631972,9
19,192.168.29.181_192.168.29.1_17,80.19303797468355,129,69,9.41515574621777,2025-10-22 22:42:55.442067,2025-10-24 16:14:37.656499,316
20,192.168.29.181_192.168.29.1_6,66.0,66,66,0.0,2025-10-24 16:10:20.524576,2025-10-24 16:12:02.696394,79
21,192.168.29.181_20.189.173.16_6,390.25,1494,54,511.31971194751236,2025-10-24 16:11:59.844474,2025-10-24 16:12:03.908335,24
22,192.168.29.181_20.189.173.24_6,358.05263157894734,1494,54,465.9223199065854,2025-10-24 16:10:27.660031,2025-10-24 16:12:01.463012,19
23,192.168.29.181_20.189.173.28_6,557.6153846153846,1494,54,615.5022714449119,2025-10-24 16:11:51.231776,2025-10-24 16:11:58.135215,26
24,192.168.29.181_20.190.146.34_6,574.2666666666667,1494,54,644.1955633264822,2025-10-24 16:08:56.749849,2025-10-24 16:08:57.594024,15
25,192.168.29.181_20.255.46.225_6,231.85,1494,54,438.84288940228635,2025-10-24 16:10:17.570691,2025-10-24 16:11:32.502971,20
26,192.168.29.181_20.42.65.90_6,287.7142857142857,1039,54,388.77873496618196,2025-10-22 22:42:55.464412,2025-10-22 22:42:56.329353,7
27,192.168.29.181_20.42.73.26_6,495.6363636363636,1494,54,586.2467522685772,2025-10-24 16:07:49.065695,2025-10-24 16:07:50.007878,11
28,192.168.29.181_204.79.197.203_6,667.7586206896551,1494,54,656.9066332283993,2025-10-24 16:08:56.663181,2025-10-24 16:11:53.819511,87
29,192.168.29.181_204.79.197.219_6,305.2,1494,54,455.9780234778172,2025-10-24 16:09:00.703716,2025-10-24 16:09:18.337097,20
30,192.168.29.181_204.79.197.222_6,54.0,54,54,0.0,2025-10-24 16:06:52.777079,2025-10-24 16:06:52.793666,2
31,192.168.29.181_224.0.0.22_2,55.0,70,54,2.983522825571178,2025-10-22 22:42:39.233950,2025-10-24 16:14:29.734723,72
32,192.168.29.181_224.0.0.251_17,82.0,82,82,0.0,2025-10-24 16:09:19.938087,2025-10-24 16:09:20.287219,3
33,192.168.29.181_40.74.81.198_6,325.4375,1494,54,484.0559153307256,2025-10-24 16:09:06.048420,2025-10-24 16:09:19.115418,16
34,192.168.29.181_49.44.50.19_6,76.5,165,54,43.75271420152126,2025-10-24 16:10:25.945488,2025-10-24 16:10:26.147360,6
35,192.168.29.181_51.11.192.49_6,436.6136363636364,1494,54,542.8399573950032,2025-10-24 16:09:21.263375,2025-10-24 16:09:32.295371,44
36,192.168.29.181_52.168.117.169_6,1102.1618876941457,1494,54,589.7459892327873,2025-10-24 16:09:10.243153,2025-10-24 16:14:42.060835,1674
37,192.168.29.181_54.192.142.2_6,293.8095238095238,1494,54,457.23053474670945,2025-10-24 16:08:56.663181,2025-10-24 16:09:18.819548,21
38,192.168.29.1_192.168.29.181_1,46.0,46,46,0.0,2025-10-24 16:06:51.971206,2025-10-24 16:08:13.152129,2
39,192.168.29.1_192.168.29.181_17,195.04361370716512,366,43,73.35196379034655,2025-10-22 22:42:55.442067,2025-10-24 16:14:40.582741,321
40,192.168.29.1_224.0.0.1_2,50.0,50,50,0.0,2025-10-22 22:42:36.359571,2025-10-24 16:14:22.972378,79
41,192.168.29.1_239.255.255.250_17,136.0,136,136,0.0,2025-10-24 16:03:04.994589,2025-10-24 16:13:05.023385,5
42,192.168.29.231_224.0.0.251_17,100.0,100,100,,2025-10-22 22:42:58.683135,2025-10-22 22:42:58.683135,1
43,192.168.29.234_224.0.0.251_17,119.0,135,103,12.09486313629527,2025-10-22 22:42:33.404069,2025-10-22 22:43:04.019029,8
44,192.168.29.39_224.0.0.251_17,103.0,103,103,,2025-10-22 22:42:58.685141,2025-10-22 22:42:58.685141,1
45,192.168.29.39_239.255.255.250_17,167.0,167,167,0.0,2025-10-22 22:42:44.630186,2025-10-24 16:03:09.286425,5
46,20.189.173.16_192.168.29.181_6,598.3157894736842,1514,54,652.3007190477223,2025-10-24 16:11:59.997956,2025-10-24 16:12:04.050169,19
47,20.189.173.24_192.168.29.181_6,426.5263157894737,1514,54,590.7526619511242,2025-10-24 16:10:27.812483,2025-10-24 16:12:37.278507,19
48,20.189.173.28_192.168.29.181_6,524.0909090909091,1514,54,633.4548436637288,2025-10-24 16:11:51.472853,2025-10-24 16:11:58.252034,22
49,20.190.146.34_192.168.29.181_6,1089.7,1514,54,638.1794913328811,2025-10-24 16:08:56.787324,2025-10-24 16:11:03.652711,20
50,20.255.46.225_192.168.29.181_6,767.6,1514,54,681.9337088994306,2025-10-24 16:10:17.629698,2025-10-24 16:11:32.655548,25
51,20.42.65.90_192.168.29.181_6,823.2222222222222,1514,54,678.530356317567,2025-10-22 22:42:55.810824,2025-10-22 22:42:56.313354,9
52,20.42.73.26_192.168.29.181_6,570.9,1514,54,664.3144252201329,2025-10-24 16:07:49.299988,2025-10-24 16:07:50.221349,10
53,204.79.197.203_192.168.29.181_6,468.80808080808083,1514,54,581.3080899525124,2025-10-24 16:08:56.663181,2025-10-24 16:12:30.503866,99
54,204.79.197.219_192.168.29.181_6,532.0714285714286,1514,54,644.0599769961289,2025-10-24 16:09:00.791245,2025-10-24 16:09:18.994370,28
55,204.79.197.222_192.168.29.181_6,54.0,54,54,0.0,2025-10-24 16:06:52.793666,2025-10-24 16:06:52.793666,2
56,40.74.81.198_192.168.29.181_6,608.4444444444445,1514,54,640.2186411662285,2025-10-24 16:09:06.073373,2025-10-24 16:09:19.114414,18
57,49.44.50.19_192.168.29.181_6,89.16666666666667,241,54,74.61478852524255,2025-10-24 16:10:25.985395,2025-10-24 16:10:26.181200,6
58,51.11.192.49_192.168.29.181_6,439.81081081081084,1514,54,585.8536429783388,2025-10-24 16:09:21.981368,2025-10-24 16:09:32.293539,37
59,52.168.117.169_192.168.29.181_6,106.05737704918033,1514,54,202.21703831387907,2025-10-24 16:09:10.321356,2025-10-24 16:14:42.063647,854
60,54.192.142.2_192.168.29.181_6,266.05882352941177,1376,54,433.23398276627535,2025-10-24 16:08:56.676625,2025-10-24 16:09:18.817556,17
